_id,Park Location,Latitude,Longitude,Total BLTs,BLT Larvae,BLT Adults and Nymphs,# Positive,Year
1,Algonquin Island,43.62612,-79.360567,1,0,1,0,2013
2,Algonquin Island,43.62612,-79.360567,0,0,0,0,2014
3,Danforth Birchmount Parkette,43.695657,-79.266877,0,0,0,0,2014
4,Rouge Park,43.811851,-79.151299,3,0,3,0,2014
5,Wards Island,43.629883,-79.349769,0,0,0,0,2014
6,Algonquin Island,43.62612,-79.360567,2,0,2,0,2015
7,Bob Hunter Park,43.802283,-79.161945,0,0,0,0,2015
8,Brimley Woods Park,43.809945,-79.275149,0,0,0,0,2015
9,Cedar Ridge Park,43.757969,-79.2087,1,0,1,0,2015
10,Centre Island,43.618094,-79.386014,0,0,0,0,2015
11,Charles Sauriol Conservation Area,43.734522,-79.329934,0,0,0,0,2015
12,Cudia Park,43.723959,-79.221507,0,0,0,0,2015
13,Etobicoke Creek,43.647937,-79.589648,0,0,0,0,2015
14,Greenvale Park,43.756853,-79.202446,0,0,0,0,2015
15,Grey Abbey Park,43.755269,-79.17296,0,0,0,0,2015
16,Guildwood Park,43.748537,-79.191287,0,0,0,0,2015
17,Hanlan's Point,43.613139,-79.383364,0,0,0,0,2015
18,Humber River,43.724878,-79.608907,0,0,0,0,2015
19,Joyce Trimmer Park,43.806838,-79.189336,0,0,0,0,2015
20,Lavender Creek,43.674271,-79.479888,0,0,0,0,2015
21,Leslie Grove Park,43.663346,-79.333525,0,0,0,0,2015
22,Milkman’s Lane,43.67845,-79.372299,0,0,0,0,2015
23,Morningside Park,43.776814,-79.199891,4,0,4,0,2015
24,Panorama Park,43.746303,-79.579918,0,0,0,0,2015
25,Pine Point Park,43.716392,-79.540814,0,0,0,0,2015
26,Rouge Park,43.811851,-79.151299,10,0,10,1,2015
27,Rowntree Mills Park,43.747986,-79.571159,0,0,0,0,2015
28,South Marine Drive Park,43.737444000000004,-79.201418,0,0,0,0,2015
29,Sunnybrook Park,43.724281,-79.36532,0,0,0,0,2015
30,Sylvan Park,43.729052,-79.214018,0,0,0,0,2015
31,Tommy Thompson Park,43.622495,-79.337167,0,0,0,0,2015
32,Wards Island,43.629883,-79.349769,0,0,0,0,2015
33,Algonquin Island,43.62612,-79.360567,8,0,8,0,2016
34,Bickford Park,43.65874,-79.42116,0,0,0,0,2016
35,Bloordale Park,43.638226,-79.572831,0,0,0,0,2016
36,Brimley Woods Park,43.809945,-79.275149,0,0,0,0,2016
37,Cedar Ridge Park,43.757969,-79.2087,1,0,1,0,2016
38,Centre Island,43.618094,-79.386014,0,0,0,0,2016
39,Charles Sauriol Conservation Area,43.734522,-79.329934,0,0,0,0,2016
40,Colonel Danforth Trail,43.780349,-79.178148,8,0,8,1,2016
41,Cudia Park,43.723959,-79.221507,0,0,0,0,2016
42,David A. Balfour Park,43.686161,-79.388775999999993,0,0,0,0,2016
43,Eglinton Park,43.707535,-79.405068,0,0,0,0,2016
44,Etienne Brule Park,43.651811,-79.490275,0,0,0,0,2016
45,Etobicoke Creek,43.647937,-79.589648,0,0,0,0,2016
46,Etobicoke Valley Park,43.602787,-79.556213,0,0,0,0,2016
47,Finch Hydro Corridor,43.791856,-79.381808,0,0,0,0,2016
