Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Population and dwellings,Population; 2016,1,2731571,NA,NA,...,NA,...,2731571,NA,NA,...,NA,...
Population and dwellings,Population; 2011,1,2615060,NA,NA,...,NA,...,2615060,NA,NA,...,NA,...
Population and dwellings,Population percentage change; 2011 to 2016,NA,4.5,NA,NA,...,NA,...,4.5,NA,NA,...,NA,...
Population and dwellings,Total private dwellings,2,1179057,NA,NA,...,NA,...,1179057,NA,NA,...,NA,...
Population and dwellings,Private dwellings occupied by usual residents,3,1112929,NA,NA,...,NA,...,1112929,NA,NA,...,NA,...
Population and dwellings,Population density per square kilometre,NA,4334.4,NA,NA,...,NA,...,4334.4,NA,NA,...,NA,...
Population and dwellings,Land area in square kilometres,NA,630.2,NA,NA,...,NA,...,630.2,NA,NA,...,NA,...
Age characteristics,Total - Age groups and average age of the population - 100% data,4,2731575,NA,1313590,,1417985,,2731575,NA,1313590,,1417985,
Age characteristics,  0 to 14 years,NA,398135,NA,204190,,193945,,398135,NA,204190,,193945,
Age characteristics,    0 to 4 years,NA,136000,NA,69895,,66105,,136000,NA,69895,,66105,
Age characteristics,    5 to 9 years,NA,135025,NA,69345,,65680,,135025,NA,69345,,65680,
Age characteristics,    10 to 14 years,NA,127105,NA,64940,,62165,,127105,NA,64940,,62165,
Age characteristics,  15 to 64 years,NA,1906495,NA,925070,,981420,,1906495,NA,925070,,981420,
Age characteristics,    15 to 19 years,NA,145525,NA,74240,,71280,,145525,NA,74240,,71280,
Age characteristics,    20 to 24 years,NA,194750,NA,97415,,97330,,194750,NA,97415,,97330,
Age characteristics,    25 to 29 years,NA,232945,NA,113905,,119035,,232945,NA,113905,,119035,
Age characteristics,    30 to 34 years,NA,224580,NA,108895,,115680,,224580,NA,108895,,115680,
Age characteristics,    35 to 39 years,NA,196310,NA,94065,,102240,,196310,NA,94065,,102240,
Age characteristics,    40 to 44 years,NA,182390,NA,86535,,95860,,182390,NA,86535,,95860,
Age characteristics,    45 to 49 years,NA,190925,NA,90860,,100065,,190925,NA,90860,,100065,
Age characteristics,    50 to 54 years,NA,202405,NA,98735,,103670,,202405,NA,98735,,103670,
Age characteristics,    55 to 59 years,NA,182805,NA,88145,,94655,,182805,NA,88145,,94655,
Age characteristics,    60 to 64 years,NA,153865,NA,72265,,81600,,153865,NA,72265,,81600,
Age characteristics,  65 years and over,NA,426945,NA,184325,,242615,,426945,NA,184325,,242615,
Age characteristics,    65 to 69 years,NA,130540,NA,60360,,70185,,130540,NA,60360,,70185,
Age characteristics,    70 to 74 years,NA,93600,NA,42315,,51285,,93600,NA,42315,,51285,
Age characteristics,    75 to 79 years,NA,76160,NA,32730,,43430,,76160,NA,32730,,43430,
Age characteristics,    80 to 84 years,NA,60630,NA,25670,,34965,,60630,NA,25670,,34965,
Age characteristics,    85 years and over,NA,66005,NA,23245,,42750,,66005,NA,23245,,42750,
Age characteristics,      85 to 89 years,NA,40800,NA,15665,,25135,,40800,NA,15665,,25135,
Age characteristics,      90 to 94 years,NA,19680,NA,6180,,13500,,19680,NA,6180,,13500,
Age characteristics,      95 to 99 years,NA,4750,NA,1275,,3470,,4750,NA,1275,,3470,
Age characteristics,      100 years and over,NA,770,NA,120,,650,,770,NA,120,,650,
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,NA,100,NA,100,,100,,100,NA,100,,100,
Age characteristics,  0 to 14 years,NA,14.6,NA,15.5,,13.7,,14.6,NA,15.5,,13.7,
Age characteristics,  15 to 64 years,NA,69.8,NA,70.4,,69.2,,69.8,NA,70.4,,69.2,
Age characteristics,  65 years and over,NA,15.6,NA,14,,17.1,,15.6,NA,14,,17.1,
Age characteristics,    85 years and over,NA,2.4,NA,1.8,,3,,2.4,NA,1.8,,3,
Age characteristics,Average age of the population,NA,40.6,NA,39.4,,41.7,,40.6,NA,39.4,,41.7,
Age characteristics,Median age of the population,NA,39.3,NA,38,,40.5,,39.3,NA,38,,40.5,
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,5,1112930,NA,NA,...,NA,...,1112930,NA,NA,...,NA,...
Household and dwelling characteristics,  Single-detached house,NA,269675,NA,NA,...,NA,...,269675,NA,NA,...,NA,...
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,NA,493280,NA,NA,...,NA,...,493280,NA,NA,...,NA,...
Household and dwelling characteristics,  Other attached dwelling,6,349885,NA,NA,...,NA,...,349885,NA,NA,...,NA,...
Household and dwelling characteristics,    Semi-detached house,NA,71230,NA,NA,...,NA,...,71230,NA,NA,...,NA,...
Household and dwelling characteristics,    Row house,NA,61630,NA,NA,...,NA,...,61630,NA,NA,...,NA,...
Household and dwelling characteristics,    Apartment or flat in a duplex,NA,48540,NA,NA,...,NA,...,48540,NA,NA,...,NA,...
Household and dwelling characteristics,    Apartment in a building that has fewer than five storeys,NA,165625,NA,NA,...,NA,...,165625,NA,NA,...,NA,...
Household and dwelling characteristics,    Other single-attached house,NA,2860,NA,NA,...,NA,...,2860,NA,NA,...,NA,...
Household and dwelling characteristics,  Movable dwelling,7,95,NA,NA,...,NA,...,95,NA,NA,...,NA,...
Household and dwelling characteristics,Total - Private households by household size - 100% data,8,1112930,NA,NA,...,NA,...,1112930,NA,NA,...,NA,...
Household and dwelling characteristics,  1 person,NA,359955,NA,NA,...,NA,...,359955,NA,NA,...,NA,...
Household and dwelling characteristics,  2 persons,NA,333425,NA,NA,...,NA,...,333425,NA,NA,...,NA,...
Household and dwelling characteristics,  3 persons,NA,175720,NA,NA,...,NA,...,175720,NA,NA,...,NA,...
Household and dwelling characteristics,  4 persons,NA,146580,NA,NA,...,NA,...,146580,NA,NA,...,NA,...
Household and dwelling characteristics,  5 or more persons,NA,97245,NA,NA,...,NA,...,97245,NA,NA,...,NA,...
Household and dwelling characteristics,Number of persons in private households,NA,2691665,NA,NA,...,NA,...,2691665,NA,NA,...,NA,...
Household and dwelling characteristics,Average household size,NA,2.4,NA,NA,...,NA,...,2.4,NA,NA,...,NA,...
Marital status,Total - Marital status for the population aged 15 years and over - 100% data,9,2333435,NA,1109400,,1224035,,2333435,NA,1109400,,1224035,
Marital status,  Married or living common law,NA,1181360,NA,592560,,588805,,1181360,NA,592560,,588805,
Marital status,    Married,NA,1011190,NA,505025,,506165,,1011190,NA,505025,,506165,
Marital status,    Living common law,NA,170175,NA,87535,,82640,,170175,NA,87535,,82640,
Marital status,  Not married and not living common law,NA,1152075,NA,516840,,635240,,1152075,NA,516840,,635240,
Marital status,    Never married,NA,806265,NA,410975,,395295,,806265,NA,410975,,395295,
Marital status,    Separated,NA,68715,NA,27570,,41145,,68715,NA,27570,,41145,
Marital status,    Divorced,NA,152000,NA,55490,,96515,,152000,NA,55490,,96515,
Marital status,    Widowed,NA,125095,NA,22810,,102285,,125095,NA,22810,,102285,
Family characteristics,Total - Census families in private households by family size - 100% data,10,718750,NA,NA,...,NA,...,718750,NA,NA,...,NA,...
Family characteristics,  2 persons,NA,344110,NA,NA,...,NA,...,344110,NA,NA,...,NA,...
Family characteristics,  3 persons,NA,174600,NA,NA,...,NA,...,174600,NA,NA,...,NA,...
Family characteristics,  4 persons,NA,143250,NA,NA,...,NA,...,143250,NA,NA,...,NA,...
Family characteristics,  5 or more persons,NA,56795,NA,NA,...,NA,...,56795,NA,NA,...,NA,...
Family characteristics,Average size of census families,NA,2.9,NA,NA,...,NA,...,2.9,NA,NA,...,NA,...
Family characteristics,Total number of census families in private households - 100% data,11,718755,NA,NA,...,NA,...,718755,NA,NA,...,NA,...
Family characteristics,  Total couple families,NA,566155,NA,NA,...,NA,...,566155,NA,NA,...,NA,...
Family characteristics,    Married couples,NA,481125,NA,NA,...,NA,...,481125,NA,NA,...,NA,...
Family characteristics,    Common-law couples,NA,85030,NA,NA,...,NA,...,85030,NA,NA,...,NA,...
Family characteristics,  Total lone-parent families by sex of parent,NA,152595,NA,NA,...,NA,...,152595,NA,NA,...,NA,...
Family characteristics,    Female parent,NA,128550,NA,NA,...,NA,...,128550,NA,NA,...,NA,...
Family characteristics,    Male parent,NA,24050,NA,NA,...,NA,...,24050,NA,NA,...,NA,...
Family characteristics,Total - Couple census families in private households - 100% data,NA,566155,NA,NA,...,NA,...,566155,NA,NA,...,NA,...
Family characteristics,  Couples without children,NA,250085,NA,NA,...,NA,...,250085,NA,NA,...,NA,...
Family characteristics,  Couples with children,NA,316075,NA,NA,...,NA,...,316075,NA,NA,...,NA,...
Family characteristics,    1 child,NA,133440,NA,NA,...,NA,...,133440,NA,NA,...,NA,...
Family characteristics,    2 children,NA,130765,NA,NA,...,NA,...,130765,NA,NA,...,NA,...
Family characteristics,    3 or more children,NA,51865,NA,NA,...,NA,...,51865,NA,NA,...,NA,...
Family characteristics,Total - Lone-parent census families in private households - 100% data,NA,152600,NA,NA,...,NA,...,152600,NA,NA,...,NA,...
Family characteristics,  1 child,NA,94025,NA,NA,...,NA,...,94025,NA,NA,...,NA,...
Family characteristics,  2 children,NA,41160,NA,NA,...,NA,...,41160,NA,NA,...,NA,...
Family characteristics,  3 or more children,NA,17415,NA,NA,...,NA,...,17415,NA,NA,...,NA,...
Family characteristics,Total - Persons not in census families in private households - 100% data,NA,602855,NA,277825,,325035,,602855,NA,277825,,325035,
Household type,Total - Private households by household type - 100% data,12,1112930,NA,NA,...,NA,...,1112930,NA,NA,...,NA,...
Household type,  One-census-family households,NA,653360,NA,NA,...,NA,...,653360,NA,NA,...,NA,...
Household type,    Without children in a census family,13,226080,NA,NA,...,NA,...,226080,NA,NA,...,NA,...
Household type,    With children in a census family,14,427280,NA,NA,...,NA,...,427280,NA,NA,...,NA,...
Household type,  Multiple-census-family households,NA,31600,NA,NA,...,NA,...,31600,NA,NA,...,NA,...
Household type,  Non-census-family households,NA,427970,NA,NA,...,NA,...,427970,NA,NA,...,NA,...
Household type,    One-person households,NA,359960,NA,NA,...,NA,...,359960,NA,NA,...,NA,...
Household type,    Two-or-more person non-census-family households,NA,68015,NA,NA,...,NA,...,68015,NA,NA,...,NA,...
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,15,2704415,NA,1301905,,1402510,,2704415,NA,1301905,,1402510,
Knowledge of official languages,  English only,NA,2323235,NA,1139585,,1183655,,2323235,NA,1139585,,1183655,
Knowledge of official languages,  French only,NA,2725,NA,1140,,1585,,2725,NA,1140,,1585,
Knowledge of official languages,  English and French,NA,245695,NA,107985,,137705,,245695,NA,107985,,137705,
Knowledge of official languages,  Neither English nor French,NA,132765,NA,53195,,79570,,132765,NA,53195,,79570,
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,16,2704415,NA,1301905,,1402515,,2704415,NA,1301905,,1402515,
