postal_code,gender,age,concern_local,concern_global,information,education,income,concerned_local_binary,concerned_global_binary,informed_binary
M1R,Man,33,Not very concerned,Very concerned,Not very informed,Some university,"Under $40,000",FALSE,TRUE,FALSE
M8X,Man,70,Very concerned,Very concerned,Very informed,Completed undergraduate degree,"$100,001 to $150,000",TRUE,TRUE,TRUE
M3h,Man,59,Extremely concerned,Very concerned,Extremely informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,TRUE
M5V,Woman,31,Very concerned,Very concerned,Not very informed,Post graduate/professional school,"$100,001 to $150,000",TRUE,TRUE,FALSE
M1V,Man,43,Extremely concerned,Very concerned,Very informed,"Completed community college, vocational, trade school",Prefer not to answer,TRUE,TRUE,TRUE
m1w,Man,60,Very concerned,Extremely concerned,Very informed,Completed undergraduate degree,"More than $150,000",TRUE,TRUE,TRUE
M9w,Man,68,Very concerned,Very concerned,Very informed,"Completed community college, vocational, trade school","$40,001 to $60,000",TRUE,TRUE,TRUE
M5c,Woman,34,Very concerned,Very concerned,Very informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,TRUE
m4s,Man,38,Very concerned,Very concerned,Very informed,Post graduate/professional school,Prefer not to answer,TRUE,TRUE,TRUE
m1w,Woman,46,Extremely concerned,Extremely concerned,Extremely informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,TRUE
M9R,Man,76,Extremely concerned,Very concerned,Not very informed,High school or less,"$100,001 to $150,000",TRUE,TRUE,FALSE
M9w,Woman,41,Extremely concerned,Extremely concerned,Very informed,"Some community college, vocational, trade school","$60,001 to $80,000",TRUE,TRUE,TRUE
M5A,Man,67,Very concerned,Very concerned,Very informed,Post graduate/professional school,Prefer not to answer,TRUE,TRUE,TRUE
M5N,Woman,70,Very concerned,Extremely concerned,Very informed,Post graduate/professional school,"$60,001 to $80,000",TRUE,TRUE,TRUE
m6m,Woman,69,Very concerned,Very concerned,Very informed,High school or less,"$40,001 to $60,000",TRUE,TRUE,TRUE
M4L,Man,32,Extremely concerned,Extremely concerned,Extremely informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,TRUE
m9w,Woman,27,Very concerned,Very concerned,Not very informed,"Completed community college, vocational, trade school","$80,001 to $100,000",TRUE,TRUE,FALSE
m6j,Woman,28,Not very concerned,Extremely concerned,Very informed,Post graduate/professional school,"More than $150,000",FALSE,TRUE,TRUE
m2j,Woman,49,Very concerned,Very concerned,Very informed,Completed undergraduate degree,"$80,001 to $100,000",TRUE,TRUE,TRUE
m3j,Man,63,Very concerned,Extremely concerned,Very informed,Completed undergraduate degree,Prefer not to answer,TRUE,TRUE,TRUE
M1V,Man,43,Very concerned,Very concerned,Very informed,Post graduate/professional school,"$100,001 to $150,000",TRUE,TRUE,TRUE
m6j,Woman,36,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,TRUE
m9c,Man,34,Extremely concerned,Very concerned,Very informed,Completed undergraduate degree,"$100,001 to $150,000",TRUE,TRUE,TRUE
M5e,Woman,55,Very concerned,Very concerned,Extremely informed,Completed undergraduate degree,"$80,001 to $100,000",TRUE,TRUE,TRUE
M6A,Man,26,Very concerned,Very concerned,Very informed,Post graduate/professional school,"$40,001 to $60,000",TRUE,TRUE,TRUE
