id,park,latitude,longitude,total,larvae,adults,positive,year,negative
1,Algonquin Island,43.62612,-79.360567,1,0,1,0,2013,1
2,Algonquin Island,43.62612,-79.360567,0,0,0,0,2014,0
3,Danforth Birchmount Parkette,43.695657,-79.266877,0,0,0,0,2014,0
4,Rouge Park,43.811851,-79.151299,3,0,3,0,2014,3
5,Wards Island,43.629883,-79.349769,0,0,0,0,2014,0
6,Algonquin Island,43.62612,-79.360567,2,0,2,0,2015,2
7,Bob Hunter Park,43.802283,-79.161945,0,0,0,0,2015,0
8,Brimley Woods Park,43.809945,-79.275149,0,0,0,0,2015,0
9,Cedar Ridge Park,43.757969,-79.2087,1,0,1,0,2015,1
10,Centre Island,43.618094,-79.386014,0,0,0,0,2015,0
11,Charles Sauriol Conservation Area,43.734522,-79.329934,0,0,0,0,2015,0
12,Cudia Park,43.723959,-79.221507,0,0,0,0,2015,0
13,Etobicoke Creek,43.647937,-79.589648,0,0,0,0,2015,0
14,Greenvale Park,43.756853,-79.202446,0,0,0,0,2015,0
15,Grey Abbey Park,43.755269,-79.17296,0,0,0,0,2015,0
16,Guildwood Park,43.748537,-79.191287,0,0,0,0,2015,0
17,Hanlan's Point,43.613139,-79.383364,0,0,0,0,2015,0
18,Humber River,43.724878,-79.608907,0,0,0,0,2015,0
19,Joyce Trimmer Park,43.806838,-79.189336,0,0,0,0,2015,0
20,Lavender Creek,43.674271,-79.479888,0,0,0,0,2015,0
21,Leslie Grove Park,43.663346,-79.333525,0,0,0,0,2015,0
22,Milkman’s Lane,43.67845,-79.372299,0,0,0,0,2015,0
23,Morningside Park,43.776814,-79.199891,4,0,4,0,2015,4
24,Panorama Park,43.746303,-79.579918,0,0,0,0,2015,0
25,Pine Point Park,43.716392,-79.540814,0,0,0,0,2015,0
26,Rouge Park,43.811851,-79.151299,10,0,10,1,2015,9
27,Rowntree Mills Park,43.747986,-79.571159,0,0,0,0,2015,0
28,South Marine Drive Park,43.737444000000004,-79.201418,0,0,0,0,2015,0
29,Sunnybrook Park,43.724281,-79.36532,0,0,0,0,2015,0
30,Sylvan Park,43.729052,-79.214018,0,0,0,0,2015,0
31,Tommy Thompson Park,43.622495,-79.337167,0,0,0,0,2015,0
32,Wards Island,43.629883,-79.349769,0,0,0,0,2015,0
33,Algonquin Island,43.62612,-79.360567,8,0,8,0,2016,8
34,Bickford Park,43.65874,-79.42116,0,0,0,0,2016,0
35,Bloordale Park,43.638226,-79.572831,0,0,0,0,2016,0
36,Brimley Woods Park,43.809945,-79.275149,0,0,0,0,2016,0
37,Cedar Ridge Park,43.757969,-79.2087,1,0,1,0,2016,1
38,Centre Island,43.618094,-79.386014,0,0,0,0,2016,0
39,Charles Sauriol Conservation Area,43.734522,-79.329934,0,0,0,0,2016,0
40,Colonel Danforth Trail,43.780349,-79.178148,8,0,8,1,2016,7
41,Cudia Park,43.723959,-79.221507,0,0,0,0,2016,0
42,David A. Balfour Park,43.686161,-79.388775999999993,0,0,0,0,2016,0
43,Eglinton Park,43.707535,-79.405068,0,0,0,0,2016,0
44,Etienne Brule Park,43.651811,-79.490275,0,0,0,0,2016,0
45,Etobicoke Creek,43.647937,-79.589648,0,0,0,0,2016,0
46,Etobicoke Valley Park,43.602787,-79.556213,0,0,0,0,2016,0
47,Finch Hydro Corridor,43.791856,-79.381808,0,0,0,0,2016,0
48,Glen Stewart Park,43.676572,-79.293242,0,0,0,0,2016,0
49,Hanlan's Point,43.613139,-79.383364,0,0,0,0,2016,0
50,High Park,43.640264,-79.459314,0,0,0,0,2016,0
51,Humberwood Park,43.724041,-79.610324,0,0,0,0,2016,0
52,Iroquois Park,43.803838,-79.269558,0,0,0,0,2016,0
53,Joyce Trimmer Park,43.806838,-79.189336,0,0,0,0,2016,0
54,June Rowlands Park,43.700742,-79.388588,0,0,0,0,2016,0
55,Morningside Park,43.776814,-79.199891,14,0,14,0,2016,14
56,Northwood Park,43.747583,-79.497263,0,0,0,0,2016,0
57,Pine Point Park,43.716392,-79.540814,0,0,0,0,2016,0
58,Rennie Park,43.645352,-79.475089,0,0,0,0,2016,0
59,Riverdale Park East,43.669827,-79.355428,0,0,0,0,2016,0
60,Rouge Park,43.811851,-79.151299,63,0,63,29,2016,34
61,Rowntree Mills Park,43.747986,-79.571159,1,0,1,0,2016,1
62,Summerlea Park,43.724281,-79.36532,0,0,0,0,2016,0
63,Sunnybrook Park,43.724281,-79.36532,0,0,0,0,2016,0
64,Sylvan Park,43.729052,-79.214018,0,0,0,0,2016,0
