postal_code,latitude,longitude,age_group_0,age_group_1,age_group_2,age_group_3,gender_0,gender_1,education_0,education_1,education_2,education_3,education_4,education_5,income_0,income_1,income_2,income_3,income_4,income_5,c_local_y,c_local_n,c_global_y,c_global_n,informed_y,informed_n
M1B,43.805878928136416,-79.20663763702801,2,0,3,1,2,4,1,0,0,1,3,1,2,1,1,0,1,1,0,6,0,6,3,3
M1B,43.805878928136416,-79.20663763702801,2,0,3,1,2,4,1,0,0,1,3,1,2,1,1,0,1,1,0,6,0,6,3,3
M1B,43.805878928136416,-79.20663763702801,2,0,3,1,2,4,1,0,0,1,3,1,2,1,1,0,1,1,0,6,0,6,3,3
M1B,43.805878928136416,-79.20663763702801,2,0,3,1,2,4,1,0,0,1,3,1,2,1,1,0,1,1,0,6,0,6,3,3
M1B,43.805878928136416,-79.20663763702801,2,0,3,1,2,4,1,0,0,1,3,1,2,1,1,0,1,1,0,6,0,6,3,3
M1B,43.805878928136416,-79.20663763702801,2,0,3,1,2,4,1,0,0,1,3,1,2,1,1,0,1,1,0,6,0,6,3,3
M1C,43.796911157601116,-79.10173221757323,1,1,2,0,3,1,0,0,2,1,0,1,1,1,0,2,0,0,3,1,0,4,0,4
M1C,43.796911157601116,-79.10173221757323,1,1,2,0,3,1,0,0,2,1,0,1,1,1,0,2,0,0,3,1,0,4,0,4
M1C,43.796911157601116,-79.10173221757323,1,1,2,0,3,1,0,0,2,1,0,1,1,1,0,2,0,0,3,1,0,4,0,4
M1C,43.796911157601116,-79.10173221757323,1,1,2,0,3,1,0,0,2,1,0,1,1,1,0,2,0,0,3,1,0,4,0,4
M1E,43.76545198902606,-79.1896854595336,3,1,2,3,4,5,3,1,3,1,1,0,2,0,4,2,1,0,7,2,0,9,4,5
M1E,43.76545198902606,-79.1896854595336,3,1,2,3,4,5,3,1,3,1,1,0,2,0,4,2,1,0,7,2,0,9,4,5
M1E,43.76545198902606,-79.1896854595336,3,1,2,3,4,5,3,1,3,1,1,0,2,0,4,2,1,0,7,2,0,9,4,5
M1E,43.76545198902606,-79.1896854595336,3,1,2,3,4,5,3,1,3,1,1,0,2,0,4,2,1,0,7,2,0,9,4,5
M1E,43.76545198902606,-79.1896854595336,3,1,2,3,4,5,3,1,3,1,1,0,2,0,4,2,1,0,7,2,0,9,4,5
M1E,43.76545198902606,-79.1896854595336,3,1,2,3,4,5,3,1,3,1,1,0,2,0,4,2,1,0,7,2,0,9,4,5
M1E,43.76545198902606,-79.1896854595336,3,1,2,3,4,5,3,1,3,1,1,0,2,0,4,2,1,0,7,2,0,9,4,5
M1E,43.76545198902606,-79.1896854595336,3,1,2,3,4,5,3,1,3,1,1,0,2,0,4,2,1,0,7,2,0,9,4,5
M1E,43.76545198902606,-79.1896854595336,3,1,2,3,4,5,3,1,3,1,1,0,2,0,4,2,1,0,7,2,0,9,4,5
M1H,43.7666904,-79.2386376,0,1,1,1,1,2,0,1,2,0,0,0,0,0,1,1,0,1,0,3,0,3,1,2
M1H,43.7666904,-79.2386376,0,1,1,1,1,2,0,1,2,0,0,0,0,0,1,1,0,1,0,3,0,3,1,2
M1H,43.7666904,-79.2386376,0,1,1,1,1,2,0,1,2,0,0,0,0,0,1,1,0,1,0,3,0,3,1,2
M1J,43.74625799086758,-79.23591484018264,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,2,0,2,1,1
M1J,43.74625799086758,-79.23591484018264,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,2,0,2,1,1
M1K,43.72954119318182,-79.26343167613636,2,2,1,1,0,0,1,2,0,1,1,1,1,2,0,1,2,0,0,6,0,6,4,2
M1K,43.72954119318182,-79.26343167613636,2,2,1,1,0,0,1,2,0,1,1,1,1,2,0,1,2,0,0,6,0,6,4,2
M1K,43.72954119318182,-79.26343167613636,2,2,1,1,0,0,1,2,0,1,1,1,1,2,0,1,2,0,0,6,0,6,4,2
M1K,43.72954119318182,-79.26343167613636,2,2,1,1,0,0,1,2,0,1,1,1,1,2,0,1,2,0,0,6,0,6,4,2
M1K,43.72954119318182,-79.26343167613636,2,2,1,1,0,0,1,2,0,1,1,1,1,2,0,1,2,0,0,6,0,6,4,2
M1K,43.72954119318182,-79.26343167613636,2,2,1,1,0,0,1,2,0,1,1,1,1,2,0,1,2,0,0,6,0,6,4,2
M1L,43.70861680672269,-79.2847418487395,2,1,2,0,2,3,0,0,2,1,2,0,0,1,2,0,1,1,3,2,4,1,4,1
M1L,43.70861680672269,-79.2847418487395,2,1,2,0,2,3,0,0,2,1,2,0,0,1,2,0,1,1,3,2,4,1,4,1
M1L,43.70861680672269,-79.2847418487395,2,1,2,0,2,3,0,0,2,1,2,0,0,1,2,0,1,1,3,2,4,1,4,1
M1L,43.70861680672269,-79.2847418487395,2,1,2,0,2,3,0,0,2,1,2,0,0,1,2,0,1,1,3,2,4,1,4,1
M1L,43.70861680672269,-79.2847418487395,2,1,2,0,2,3,0,0,2,1,2,0,0,1,2,0,1,1,3,2,4,1,4,1
M1M,43.72641568228106,-79.23157046843177,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,2,0,2
M1M,43.72641568228106,-79.23157046843177,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,2,0,2
M1N,43.69590590476191,-79.26454361904761,3,0,1,0,2,2,1,0,1,2,0,0,1,0,0,1,1,1,0,4,0,4,3,1
M1N,43.69590590476191,-79.26454361904761,3,0,1,0,2,2,1,0,1,2,0,0,1,0,0,1,1,1,0,4,0,4,3,1
