postal_code,gender,age_group,education_group,income_group,concerned_local_binary,concerned_global_binary,informed_binary,latitude,longitude
M1B,Woman,0,3,4,TRUE,TRUE,FALSE,43.805878928136416,-79.20663763702801
M1B,Man,0,4,2,TRUE,TRUE,TRUE,43.805878928136416,-79.20663763702801
M1B,Man,2,5,1,TRUE,TRUE,TRUE,43.805878928136416,-79.20663763702801
M1B,Woman,3,0,0,TRUE,TRUE,FALSE,43.805878928136416,-79.20663763702801
M1B,Woman,2,4,5,TRUE,TRUE,TRUE,43.805878928136416,-79.20663763702801
M1B,Woman,2,4,0,TRUE,TRUE,FALSE,43.805878928136416,-79.20663763702801
M1C,Woman,0,2,1,TRUE,TRUE,TRUE,43.796911157601116,-79.10173221757323
M1C,Man,2,3,3,FALSE,TRUE,TRUE,43.796911157601116,-79.10173221757323
M1C,Man,2,5,0,TRUE,TRUE,TRUE,43.796911157601116,-79.10173221757323
M1C,Man,1,2,3,TRUE,TRUE,TRUE,43.796911157601116,-79.10173221757323
M1E,Man,0,0,2,FALSE,TRUE,TRUE,43.76545198902606,-79.1896854595336
M1E,Woman,0,0,0,TRUE,TRUE,FALSE,43.76545198902606,-79.1896854595336
M1E,Woman,2,2,2,TRUE,TRUE,FALSE,43.76545198902606,-79.1896854595336
M1E,Woman,2,0,0,TRUE,TRUE,FALSE,43.76545198902606,-79.1896854595336
M1E,Man,3,4,3,FALSE,TRUE,TRUE,43.76545198902606,-79.1896854595336
M1E,Woman,1,1,3,TRUE,TRUE,TRUE,43.76545198902606,-79.1896854595336
M1E,Man,0,2,4,TRUE,TRUE,FALSE,43.76545198902606,-79.1896854595336
M1E,Woman,3,2,2,TRUE,TRUE,FALSE,43.76545198902606,-79.1896854595336
M1E,Man,3,3,2,TRUE,TRUE,TRUE,43.76545198902606,-79.1896854595336
M1H,Woman,2,2,2,TRUE,TRUE,FALSE,43.7666904,-79.2386376
M1H,Man,3,2,3,TRUE,TRUE,TRUE,43.7666904,-79.2386376
M1H,Woman,1,1,5,TRUE,TRUE,FALSE,43.7666904,-79.2386376
M1J,Man,1,4,1,TRUE,TRUE,TRUE,43.74625799086758,-79.23591484018264
M1J,Woman,2,0,4,TRUE,TRUE,FALSE,43.74625799086758,-79.23591484018264
M1K,Man,0,4,4,TRUE,TRUE,TRUE,43.72954119318182,-79.26343167613636
M1K,Man,0,1,1,TRUE,TRUE,FALSE,43.72954119318182,-79.26343167613636
M1K,Man,1,0,0,TRUE,TRUE,TRUE,43.72954119318182,-79.26343167613636
M1K,Man,2,1,4,TRUE,TRUE,TRUE,43.72954119318182,-79.26343167613636
M1K,Man,1,3,1,TRUE,TRUE,TRUE,43.72954119318182,-79.26343167613636
M1K,Man,3,5,3,TRUE,TRUE,FALSE,43.72954119318182,-79.26343167613636
M1L,Man,0,3,5,FALSE,FALSE,TRUE,43.70861680672269,-79.2847418487395
M1L,Man,2,4,2,TRUE,TRUE,TRUE,43.70861680672269,-79.2847418487395
M1L,Woman,0,2,4,FALSE,TRUE,TRUE,43.70861680672269,-79.2847418487395
M1L,Woman,2,2,1,TRUE,TRUE,TRUE,43.70861680672269,-79.2847418487395
M1L,Woman,1,4,2,TRUE,TRUE,FALSE,43.70861680672269,-79.2847418487395
M1M,Man,1,3,1,TRUE,TRUE,TRUE,43.72641568228106,-79.23157046843177
M1M,Man,2,2,2,FALSE,TRUE,TRUE,43.72641568228106,-79.23157046843177
M1N,Man,0,3,4,TRUE,TRUE,TRUE,43.69590590476191,-79.26454361904761
M1N,Man,0,3,5,TRUE,TRUE,TRUE,43.69590590476191,-79.26454361904761
M1N,Woman,2,2,3,TRUE,TRUE,FALSE,43.69590590476191,-79.26454361904761
M1N,Woman,0,0,0,TRUE,TRUE,TRUE,43.69590590476191,-79.26454361904761
M1P,Woman,0,5,0,TRUE,TRUE,TRUE,43.759856691729325,-79.27065879699248
M1P,Woman,2,3,2,TRUE,TRUE,TRUE,43.759856691729325,-79.27065879699248
M1P,Man,1,0,4,FALSE,FALSE,FALSE,43.759856691729325,-79.27065879699248
